time,total_vehicles,fog_nodes,fog_ratio_pct
265.0,41,4,9.8
266.0,41,4,9.8
267.0,40,4,10.0
268.0,40,4,10.0
269.0,39,4,10.3
270.0,37,3,8.1
271.0,38,4,10.5
272.0,36,4,11.1
273.0,37,4,10.8
274.0,36,4,11.1
275.0,36,4,11.1
276.0,36,4,11.1
277.0,36,4,11.1
278.0,36,4,11.1
279.0,34,4,11.8
280.0,34,4,11.8
281.0,37,4,10.8
282.0,37,4,10.8
283.0,37,4,10.8
284.0,37,4,10.8
285.0,36,4,11.1
286.0,37,4,10.8
287.0,36,4,11.1
288.0,36,4,11.1
289.0,38,5,13.2
290.0,38,5,13.2
291.0,39,5,12.8
292.0,37,3,8.1
293.0,35,3,8.6
294.0,34,3,8.8
295.0,36,3,8.3
296.0,36,3,8.3
297.0,37,3,8.1
298.0,37,3,8.1
299.0,38,3,7.9
300.0,38,3,7.9
301.0,38,3,7.9
302.0,38,3,7.9
303.0,36,3,8.3
304.0,36,3,8.3
305.0,34,3,8.8
306.0,34,3,8.8
307.0,34,3,8.8
308.0,34,3,8.8
309.0,34,3,8.8
310.0,33,3,9.1
311.0,33,3,9.1
312.0,33,3,9.1
313.0,33,3,9.1
314.0,32,3,9.4
315.0,32,3,9.4
316.0,31,3,9.7
317.0,31,3,9.7
318.0,31,3,9.7
