time,edge_ms,fog_ms,cloud_ms,avg_weighted_ms
159.0,3.0,16.6,250.0,67.0
160.0,3.0,16.9,250.0,61.73
161.0,3.0,16.6,250.0,48.11
162.0,3.0,16.7,250.0,64.53
163.0,3.0,16.7,250.0,64.84
164.0,3.0,16.7,250.0,64.84
165.0,3.0,16.6,250.0,64.79
166.0,3.0,16.8,250.0,64.56
167.0,3.0,16.3,250.0,83.48
168.0,3.0,16.3,250.0,83.48
169.0,3.0,16.1,250.0,87.47
170.0,3.0,16.0,250.0,85.22
171.0,3.0,16.0,250.0,97.25
172.0,3.0,15.9,250.0,103.69
173.0,3.0,15.8,250.0,103.31
174.0,3.0,15.7,250.0,88.41
175.0,3.0,15.7,250.0,82.74
176.0,3.0,15.6,250.0,95.44
177.0,3.0,15.5,250.0,86.92
178.0,3.0,15.6,250.0,92.97
179.0,3.0,15.5,250.0,90.8
180.0,3.0,15.5,250.0,86.22
181.0,3.0,15.9,250.0,88.86
182.0,3.0,15.9,250.0,91.4
183.0,3.0,15.5,250.0,103.13
184.0,3.0,15.6,250.0,100.85
185.0,3.0,15.7,250.0,97.87
186.0,3.0,15.7,250.0,94.83
187.0,3.0,15.8,250.0,70.64
188.0,3.0,16.0,250.0,79.05
189.0,3.0,15.9,250.0,63.56
190.0,3.0,15.9,250.0,71.4
191.0,3.0,16.0,250.0,52.63
192.0,3.0,15.8,250.0,58.89
193.0,3.0,15.6,250.0,64.06
194.0,3.0,15.5,250.0,58.81
195.0,3.0,15.7,250.0,41.35
196.0,3.0,15.6,250.0,46.22
197.0,3.0,15.6,250.0,46.56
198.0,3.0,15.4,250.0,59.4
199.0,3.0,15.4,250.0,47.66
200.0,3.0,15.5,250.0,47.75
201.0,3.0,15.5,250.0,56.19
202.0,3.0,15.5,250.0,63.25
203.0,3.0,15.5,250.0,62.61
204.0,3.0,15.7,250.0,51.78
205.0,3.0,15.6,250.0,51.98
206.0,3.0,15.8,250.0,56.4
207.0,3.0,15.7,250.0,66.94
208.0,3.0,15.8,250.0,60.84
209.0,3.0,16.1,250.0,54.85
210.0,3.0,16.2,250.0,49.32
211.0,3.0,16.5,250.0,48.57
212.0,3.0,16.3,250.0,48.73
213.0,3.0,16.3,250.0,42.17
214.0,3.0,16.4,250.0,41.31
215.0,3.0,16.3,250.0,51.28
216.0,3.0,16.3,250.0,46.18
217.0,3.0,16.5,250.0,35.34
218.0,3.0,16.4,250.0,31.46
219.0,3.0,16.4,250.0,25.47
220.0,3.0,16.1,250.0,43.93
221.0,3.0,16.1,250.0,36.63
222.0,3.0,16.3,250.0,43.1
223.0,3.0,16.3,250.0,54.09
224.0,3.0,16.3,250.0,53.15
225.0,3.0,16.2,250.0,41.67
226.0,3.0,16.3,250.0,47.18
227.0,3.0,16.3,250.0,42.78
228.0,3.0,16.3,250.0,47.76
229.0,3.0,16.3,250.0,37.1
230.0,3.0,16.4,250.0,35.94
231.0,3.0,16.4,250.0,58.0
232.0,3.0,16.3,250.0,52.55
233.0,3.0,16.2,250.0,71.79
234.0,3.0,16.0,250.0,71.08
235.0,3.0,16.1,250.0,76.88
236.0,3.0,16.4,250.0,71.64
237.0,3.0,16.3,250.0,66.42
238.0,3.0,16.5,250.0,51.44
239.0,3.0,16.3,250.0,57.62
240.0,3.0,16.2,250.0,49.06
241.0,3.0,16.2,250.0,62.38
242.0,3.0,16.4,250.0,46.19
243.0,3.0,16.2,250.0,41.12
244.0,3.0,16.3,250.0,40.32
245.0,3.0,16.1,250.0,30.61
246.0,3.0,16.2,250.0,53.07
247.0,3.0,16.2,250.0,47.1
248.0,3.0,16.0,250.0,49.15
249.0,3.0,16.0,250.0,54.47
250.0,3.0,15.6,250.0,41.99
251.0,3.0,16.0,250.0,36.99
252.0,3.0,15.8,250.0,37.82
253.0,3.0,15.8,250.0,43.16
254.0,3.0,15.9,250.0,51.63
255.0,3.0,16.0,250.0,51.37
256.0,3.0,16.0,250.0,34.69
257.0,3.0,16.2,250.0,35.14
258.0,3.0,16.2,250.0,40.02
259.0,3.0,16.3,250.0,46.8
260.0,3.0,16.5,250.0,21.5
261.0,3.0,16.4,250.0,33.7
262.0,3.0,16.7,250.0,40.05
263.0,3.0,16.7,250.0,46.21
264.0,3.0,16.8,250.0,56.92
265.0,3.0,16.9,250.0,62.35
266.0,3.0,16.9,250.0,61.34
267.0,3.0,17.1,250.0,56.8
268.0,3.0,16.8,250.0,62.06
269.0,3.0,16.8,250.0,57.12
270.0,3.0,16.7,250.0,72.64
271.0,3.0,16.9,250.0,65.36
272.0,3.0,16.7,250.0,61.19
273.0,3.0,16.6,250.0,65.16
274.0,3.0,16.6,250.0,61.88
275.0,3.0,16.6,250.0,41.0
276.0,3.0,16.6,250.0,48.3
277.0,3.0,16.6,250.0,48.3
278.0,3.0,16.7,250.0,47.61
279.0,3.0,16.7,250.0,42.23
