time,energy_per_task_mJ,local_component_mJ,fog_component_mJ,cloud_component_mJ
159.0,130.0,0.0,90.0,40.0
160.0,139.4,14.0,89.5,35.9
161.0,124.4,0.0,99.5,25.0
162.0,129.4,0.0,91.4,37.9
163.0,160.2,39.5,81.6,39.0
164.0,160.2,39.5,81.6,39.0
165.0,160.3,39.5,81.8,39.0
166.0,170.2,52.5,78.7,39.0
167.0,145.1,13.0,78.7,53.5
168.0,145.1,13.0,78.7,53.5
169.0,156.2,25.5,73.7,57.0
170.0,164.9,37.5,71.9,55.5
171.0,158.8,25.0,69.0,64.8
172.0,141.2,0.0,71.9,69.4
173.0,150.9,12.5,69.0,69.4
174.0,177.5,52.5,66.6,58.5
175.0,155.6,26.5,75.7,53.5
176.0,149.0,13.0,72.7,63.3
177.0,147.3,14.0,76.7,56.6
178.0,160.0,28.0,70.4,61.6
179.0,158.5,27.0,71.5,59.9
180.0,168.4,41.5,70.3,56.6
181.0,167.5,39.5,69.6,58.5
182.0,148.1,13.5,74.6,59.9
183.0,172.6,40.5,62.2,69.9
184.0,171.1,39.5,63.5,68.1
185.0,199.5,77.0,56.1,66.4
186.0,169.4,39.5,66.6,63.3
187.0,152.1,26.5,81.8,43.8
188.0,172.8,50.0,71.9,50.9
189.0,139.4,13.0,88.4,37.9
190.0,131.7,0.0,87.9,43.8
191.0,136.1,13.0,93.8,29.2
192.0,127.9,0.0,93.8,34.0
193.0,160.2,39.5,81.6,39.0
194.0,159.4,40.5,84.0,35.0
195.0,133.6,14.0,99.0,20.5
196.0,155.6,40.5,90.2,25.0
197.0,145.2,27.0,93.3,25.0
198.0,138.6,13.5,90.2,35.0
199.0,135.5,14.0,95.8,25.7
200.0,135.5,14.0,95.8,25.7
201.0,167.2,51.5,82.6,33.1
202.0,139.4,13.0,88.4,37.9
203.0,159.0,38.5,82.6,37.9
204.0,125.8,0.0,97.3,28.5
205.0,146.6,26.5,90.9,29.2
206.0,167.2,51.5,82.6,33.1
207.0,139.6,12.0,86.9,40.7
208.0,147.5,24.5,86.9,36.1
209.0,135.9,12.0,93.0,30.9
210.0,134.2,12.0,95.8,26.5
211.0,143.0,23.5,93.6,25.9
212.0,133.8,11.5,96.4,25.9
213.0,158.9,46.5,91.0,21.5
214.0,185.9,81.5,82.9,21.5
215.0,168.7,55.5,84.3,28.9
216.0,158.5,44.5,89.4,24.6
217.0,163.1,54.5,92.5,16.1
218.0,136.6,22.0,102.2,12.4
219.0,152.2,44.5,99.6,8.1
220.0,123.3,0.0,101.3,22.0
221.0,157.3,46.5,93.6,17.2
222.0,132.0,11.5,99.0,21.5
223.0,135.3,11.5,93.6,30.2
224.0,135.0,11.5,94.1,29.4
225.0,158.1,45.5,91.5,21.1
226.0,150.7,34.0,91.5,25.2
227.0,141.2,23.5,96.3,21.5
228.0,133.3,11.5,96.6,25.2
229.0,148.5,35.0,96.3,17.2
230.0,184.3,81.5,85.6,17.2
231.0,153.9,34.0,86.2,33.7
232.0,152.3,34.0,88.9,29.4
233.0,140.2,11.0,85.0,44.2
234.0,156.8,32.5,80.0,44.2
235.0,141.9,11.0,82.6,48.3
236.0,148.2,21.5,82.5,44.2
237.0,146.6,21.5,85.0,40.1
238.0,168.8,55.5,84.4,28.9
239.0,162.8,45.5,83.6,33.7
240.0,163.1,49.0,87.1,27.0
241.0,145.9,22.0,86.9,37.0
242.0,140.7,21.5,95.1,24.1
243.0,139.2,21.5,97.5,20.2
244.0,164.6,54.5,89.9,20.2
245.0,154.0,44.5,97.1,12.4
246.0,135.0,11.5,94.1,29.4
247.0,150.7,34.0,91.5,25.2
248.0,134.2,12.0,95.8,26.5
249.0,145.3,24.0,90.4,30.9
250.0,169.1,59.5,87.6,22.0
251.0,158.2,47.5,93.2,17.6
252.0,150.0,36.5,95.3,18.1
253.0,181.5,75.0,83.4,23.1
254.0,135.9,13.0,94.4,28.5
255.0,145.4,25.5,91.4,28.5
256.0,142.4,28.0,99.0,15.4
257.0,120.7,0.0,105.7,15.0
258.0,164.1,54.0,90.2,20.0
259.0,134.2,13.0,96.8,24.4
260.0,147.2,39.5,102.9,4.8
261.0,140.0,25.5,100.3,14.2
262.0,142.0,25.5,97.4,19.1
263.0,134.0,13.0,97.3,23.7
264.0,146.5,25.0,89.1,32.4
265.0,128.7,0.0,92.6,36.1
266.0,156.8,36.5,84.2,36.1
267.0,156.1,37.5,86.2,32.4
268.0,167.5,50.0,80.5,37.0
269.0,167.2,51.5,82.6,33.1
270.0,152.7,27.0,80.7,45.0
271.0,150.3,26.5,84.8,39.0
272.0,150.1,28.0,86.2,35.9
273.0,182.0,67.5,74.5,40.0
274.0,128.6,0.0,92.7,35.9
275.0,165.5,55.5,89.5,20.5
276.0,146.4,28.0,92.7,25.7
277.0,146.4,28.0,92.7,25.7
278.0,167.5,55.5,86.2,25.7
279.0,180.0,73.5,84.6,21.8
280.0,146.0,29.5,94.6,21.8
281.0,150.8,27.0,83.8,40.0
282.0,165.9,54.0,86.9,25.0
283.0,134.7,13.5,96.3,25.0
284.0,165.9,54.0,86.9,25.0
285.0,165.5,55.5,89.5,20.5
286.0,132.8,13.5,99.4,20.0
287.0,144.4,28.0,95.9,20.5
288.0,133.6,14.0,99.0,20.5
289.0,149.1,39.5,99.8,9.8
290.0,120.5,0.0,105.9,14.6
291.0,130.5,13.0,103.3,14.2
292.0,145.1,27.0,93.2,25.0
293.0,158.2,43.0,88.8,26.5
294.0,132.3,14.5,101.5,16.3
295.0,135.5,14.0,95.8,25.7
296.0,148.2,28.0,89.4,30.9
297.0,149.0,27.0,87.1,35.0
298.0,161.3,40.5,80.8,40.0
299.0,127.9,0.0,93.8,34.0
300.0,127.9,0.0,93.8,34.0
301.0,188.7,79.0,75.7,34.0
302.0,177.0,66.0,81.8,29.2
303.0,163.4,55.5,92.6,15.4
304.0,137.6,14.0,92.7,30.9
305.0,154.9,44.0,94.6,16.3
306.0,154.9,44.0,94.6,16.3
307.0,121.2,0.0,104.9,16.3
308.0,146.0,29.5,94.6,21.8
