time,RSU_J1,RSU_J2,RSU_J3,RSU_J4,max_congestion_pct
132.0,100.0,40.0,10.0,20.0,100.0
133.0,100.0,40.0,6.7,20.0,100.0
134.0,100.0,36.7,6.7,20.0,100.0
135.0,100.0,36.7,6.7,20.0,100.0
136.0,100.0,30.0,6.7,20.0,100.0
137.0,100.0,30.0,6.7,20.0,100.0
138.0,96.7,26.7,6.7,20.0,96.7
139.0,100.0,16.7,6.7,20.0,100.0
140.0,96.7,23.3,6.7,20.0,96.7
141.0,96.7,20.0,6.7,20.0,96.7
142.0,96.7,20.0,6.7,20.0,96.7
143.0,96.7,20.0,6.7,20.0,96.7
144.0,96.7,16.7,6.7,16.7,96.7
145.0,100.0,23.3,13.3,16.7,100.0
146.0,100.0,20.0,13.3,16.7,100.0
147.0,100.0,20.0,16.7,16.7,100.0
148.0,100.0,20.0,20.0,16.7,100.0
149.0,100.0,20.0,20.0,16.7,100.0
150.0,100.0,20.0,23.3,13.3,100.0
151.0,100.0,20.0,26.7,10.0,100.0
152.0,100.0,20.0,26.7,10.0,100.0
153.0,93.3,20.0,33.3,10.0,93.3
154.0,93.3,20.0,33.3,6.7,93.3
155.0,86.7,20.0,40.0,6.7,86.7
156.0,86.7,20.0,40.0,6.7,86.7
157.0,83.3,20.0,43.3,6.7,83.3
158.0,80.0,20.0,46.7,6.7,80.0
159.0,73.3,20.0,50.0,3.3,73.3
160.0,73.3,20.0,53.3,3.3,73.3
161.0,70.0,26.7,56.7,3.3,70.0
162.0,66.7,26.7,60.0,3.3,66.7
163.0,70.0,26.7,60.0,3.3,70.0
164.0,63.3,26.7,60.0,3.3,63.3
165.0,63.3,26.7,60.0,3.3,63.3
166.0,60.0,26.7,66.7,3.3,66.7
167.0,56.7,26.7,66.7,3.3,66.7
168.0,53.3,26.7,66.7,3.3,66.7
169.0,53.3,26.7,66.7,3.3,66.7
170.0,50.0,26.7,70.0,3.3,70.0
171.0,50.0,26.7,70.0,3.3,70.0
172.0,50.0,26.7,70.0,3.3,70.0
173.0,50.0,26.7,70.0,3.3,70.0
174.0,53.3,26.7,73.3,3.3,73.3
175.0,50.0,26.7,76.7,3.3,76.7
176.0,50.0,26.7,76.7,3.3,76.7
177.0,46.7,33.3,80.0,3.3,80.0
178.0,46.7,33.3,80.0,3.3,80.0
179.0,46.7,33.3,80.0,3.3,80.0
180.0,46.7,33.3,80.0,3.3,80.0
181.0,53.3,33.3,80.0,3.3,80.0
182.0,53.3,33.3,80.0,3.3,80.0
183.0,53.3,33.3,80.0,3.3,80.0
184.0,53.3,33.3,80.0,3.3,80.0
185.0,53.3,33.3,80.0,3.3,80.0
186.0,53.3,33.3,80.0,3.3,80.0
187.0,53.3,33.3,86.7,3.3,86.7
188.0,53.3,33.3,86.7,3.3,86.7
189.0,60.0,33.3,86.7,3.3,86.7
190.0,60.0,33.3,86.7,3.3,86.7
191.0,56.7,36.7,86.7,3.3,86.7
192.0,63.3,33.3,83.3,3.3,83.3
193.0,66.7,40.0,83.3,3.3,83.3
194.0,73.3,40.0,76.7,6.7,76.7
195.0,76.7,40.0,73.3,6.7,76.7
196.0,76.7,43.3,66.7,10.0,76.7
197.0,76.7,43.3,66.7,10.0,76.7
198.0,80.0,46.7,60.0,10.0,80.0
199.0,86.7,46.7,56.7,13.3,86.7
200.0,86.7,40.0,56.7,13.3,86.7
201.0,90.0,33.3,50.0,16.7,90.0
202.0,86.7,33.3,50.0,16.7,86.7
203.0,93.3,33.3,43.3,20.0,93.3
204.0,93.3,33.3,43.3,16.7,93.3
205.0,93.3,33.3,40.0,16.7,93.3
206.0,93.3,33.3,36.7,20.0,93.3
207.0,93.3,33.3,40.0,20.0,93.3
208.0,93.3,33.3,40.0,20.0,93.3
209.0,93.3,40.0,40.0,20.0,93.3
210.0,93.3,40.0,33.3,23.3,93.3
211.0,90.0,43.3,33.3,23.3,90.0
212.0,90.0,43.3,30.0,26.7,90.0
213.0,86.7,43.3,30.0,26.7,86.7
214.0,86.7,43.3,26.7,26.7,86.7
215.0,86.7,43.3,16.7,26.7,86.7
216.0,86.7,36.7,16.7,26.7,86.7
217.0,93.3,33.3,10.0,26.7,93.3
218.0,96.7,33.3,6.7,26.7,96.7
219.0,100.0,23.3,6.7,26.7,100.0
220.0,100.0,20.0,6.7,26.7,100.0
221.0,100.0,20.0,6.7,26.7,100.0
222.0,100.0,20.0,6.7,26.7,100.0
223.0,100.0,16.7,6.7,26.7,100.0
224.0,100.0,16.7,6.7,26.7,100.0
225.0,96.7,23.3,6.7,26.7,96.7
226.0,90.0,26.7,6.7,26.7,90.0
227.0,86.7,26.7,6.7,26.7,86.7
228.0,86.7,26.7,13.3,26.7,86.7
229.0,86.7,26.7,13.3,26.7,86.7
230.0,90.0,23.3,13.3,26.7,90.0
231.0,90.0,23.3,13.3,26.7,90.0
232.0,96.7,23.3,13.3,26.7,96.7
233.0,96.7,20.0,13.3,26.7,96.7
234.0,96.7,20.0,13.3,26.7,96.7
235.0,100.0,20.0,13.3,26.7,100.0
236.0,100.0,20.0,13.3,26.7,100.0
237.0,100.0,20.0,16.7,26.7,100.0
238.0,96.7,16.7,20.0,26.7,96.7
239.0,96.7,16.7,20.0,26.7,96.7
240.0,90.0,16.7,26.7,26.7,90.0
241.0,93.3,23.3,26.7,26.7,93.3
242.0,93.3,23.3,30.0,26.7,93.3
243.0,90.0,23.3,33.3,26.7,90.0
244.0,86.7,23.3,36.7,23.3,86.7
245.0,83.3,23.3,40.0,23.3,83.3
246.0,86.7,23.3,43.3,23.3,86.7
247.0,80.0,23.3,46.7,23.3,80.0
248.0,76.7,23.3,56.7,20.0,76.7
249.0,73.3,23.3,60.0,16.7,73.3
250.0,63.3,23.3,63.3,16.7,63.3
251.0,60.0,23.3,63.3,16.7,63.3
252.0,60.0,23.3,63.3,13.3,63.3
253.0,63.3,23.3,63.3,13.3,63.3
254.0,60.0,23.3,63.3,10.0,63.3
255.0,53.3,23.3,66.7,10.0,66.7
256.0,50.0,23.3,66.7,10.0,66.7
257.0,50.0,30.0,66.7,6.7,66.7
258.0,46.7,30.0,70.0,6.7,70.0
259.0,46.7,30.0,70.0,3.3,70.0
260.0,46.7,30.0,70.0,3.3,70.0
261.0,53.3,30.0,70.0,0.0,70.0
262.0,53.3,30.0,70.0,0.0,70.0
263.0,50.0,30.0,73.3,0.0,73.3
264.0,50.0,30.0,73.3,0.0,73.3
265.0,53.3,30.0,73.3,0.0,73.3
266.0,56.7,30.0,73.3,0.0,73.3
267.0,56.7,30.0,73.3,0.0,73.3
268.0,56.7,30.0,73.3,0.0,73.3
269.0,56.7,30.0,80.0,0.0,80.0
270.0,53.3,30.0,83.3,0.0,83.3
271.0,60.0,30.0,83.3,0.0,83.3
272.0,56.7,30.0,86.7,0.0,86.7
273.0,56.7,36.7,86.7,0.0,86.7
274.0,56.7,36.7,86.7,0.0,86.7
275.0,63.3,36.7,86.7,0.0,86.7
276.0,63.3,36.7,86.7,0.0,86.7
277.0,63.3,36.7,86.7,0.0,86.7
278.0,63.3,36.7,86.7,0.0,86.7
279.0,63.3,36.7,86.7,0.0,86.7
280.0,63.3,36.7,86.7,0.0,86.7
281.0,66.7,33.3,86.7,0.0,86.7
282.0,66.7,36.7,80.0,3.3,80.0
283.0,70.0,33.3,80.0,3.3,80.0
284.0,70.0,36.7,76.7,3.3,76.7
285.0,73.3,36.7,70.0,6.7,73.3
286.0,80.0,36.7,63.3,6.7,80.0
287.0,76.7,40.0,63.3,6.7,76.7
288.0,80.0,36.7,56.7,10.0,80.0
289.0,93.3,43.3,63.3,10.0,93.3
290.0,96.7,40.0,60.0,13.3,96.7
291.0,96.7,40.0,56.7,13.3,96.7
292.0,93.3,40.0,53.3,13.3,93.3
293.0,93.3,36.7,50.0,13.3,93.3
294.0,93.3,36.7,50.0,13.3,93.3
295.0,93.3,36.7,46.7,16.7,93.3
296.0,96.7,36.7,43.3,16.7,96.7
297.0,96.7,36.7,40.0,16.7,96.7
298.0,96.7,36.7,40.0,16.7,96.7
299.0,96.7,36.7,33.3,20.0,96.7
300.0,100.0,36.7,30.0,20.0,100.0
301.0,96.7,40.0,26.7,23.3,96.7
302.0,93.3,40.0,20.0,23.3,93.3
303.0,93.3,40.0,16.7,26.7,93.3
304.0,90.0,40.0,10.0,26.7,90.0
305.0,90.0,33.3,10.0,26.7,90.0
306.0,90.0,30.0,6.7,26.7,90.0
307.0,86.7,30.0,6.7,26.7,86.7
308.0,83.3,26.7,6.7,26.7,83.3
309.0,80.0,23.3,6.7,26.7,80.0
310.0,83.3,13.3,6.7,26.7,83.3
311.0,76.7,16.7,6.7,26.7,76.7
312.0,76.7,13.3,6.7,26.7,76.7
313.0,80.0,10.0,6.7,26.7,80.0
314.0,80.0,10.0,6.7,26.7,80.0
315.0,76.7,10.0,6.7,26.7,76.7
316.0,66.7,10.0,6.7,26.7,66.7
317.0,70.0,10.0,3.3,26.7,70.0
318.0,73.3,10.0,0.0,26.7,73.3
319.0,73.3,10.0,0.0,26.7,73.3
320.0,73.3,10.0,0.0,26.7,73.3
321.0,73.3,10.0,0.0,26.7,73.3
322.0,73.3,10.0,0.0,26.7,73.3
