time,total_vehicles,fog_nodes,fog_ratio_pct
265.0,47,22,46.8
266.0,48,23,47.9
267.0,48,23,47.9
268.0,48,23,47.9
269.0,50,24,48.0
270.0,50,24,48.0
271.0,52,25,48.1
272.0,52,25,48.1
273.0,53,26,49.1
274.0,53,26,49.1
275.0,54,27,50.0
276.0,54,27,50.0
277.0,54,27,50.0
278.0,53,26,49.1
279.0,53,26,49.1
280.0,53,26,49.1
281.0,53,26,49.1
282.0,53,26,49.1
283.0,53,26,49.1
284.0,51,24,47.1
285.0,51,24,47.1
286.0,48,24,50.0
287.0,47,24,51.1
288.0,47,24,51.1
289.0,53,26,49.1
290.0,53,26,49.1
291.0,53,26,49.1
292.0,51,24,47.1
293.0,49,23,46.9
294.0,49,23,46.9
295.0,46,21,45.7
296.0,44,21,47.7
297.0,43,21,48.8
298.0,42,21,50.0
299.0,40,19,47.5
300.0,39,19,48.7
301.0,39,19,48.7
302.0,38,19,50.0
303.0,38,19,50.0
304.0,37,18,48.6
305.0,36,18,50.0
306.0,35,17,48.6
307.0,35,17,48.6
308.0,33,17,51.5
309.0,33,17,51.5
310.0,31,15,48.4
311.0,30,14,46.7
312.0,30,14,46.7
313.0,29,14,48.3
314.0,28,13,46.4
315.0,28,13,46.4
316.0,28,13,46.4
317.0,28,13,46.4
318.0,27,13,48.1
319.0,25,12,48.0
320.0,25,12,48.0
321.0,25,12,48.0
322.0,25,12,48.0
323.0,25,12,48.0
324.0,25,12,48.0
