time,edge_pct,fog_pct,cloud_pct
199.0,0.0,97.7,2.3
200.0,0.0,97.7,2.3
201.0,2.3,95.3,2.3
202.0,0.0,97.7,2.3
203.0,2.2,97.8,0.0
204.0,0.0,100.0,0.0
205.0,0.0,100.0,0.0
206.0,2.3,97.7,0.0
207.0,0.0,95.5,4.5
208.0,0.0,97.7,2.3
209.0,0.0,95.6,4.4
210.0,0.0,95.6,4.4
211.0,0.0,97.8,2.2
212.0,2.2,97.8,0.0
213.0,0.0,100.0,0.0
214.0,0.0,100.0,0.0
215.0,0.0,100.0,0.0
216.0,0.0,100.0,0.0
217.0,0.0,95.9,4.1
218.0,2.0,94.0,4.0
219.0,2.0,98.0,0.0
220.0,2.0,98.0,0.0
221.0,2.0,98.1,0.0
222.0,0.0,98.0,2.0
223.0,0.0,100.0,0.0
224.0,0.0,100.0,0.0
225.0,2.0,96.0,2.0
226.0,0.0,96.0,4.1
227.0,0.0,95.9,4.2
228.0,2.0,98.0,0.0
229.0,0.0,100.0,0.0
230.0,0.0,97.9,2.0
231.0,2.1,93.6,4.3
232.0,0.0,95.9,4.1
233.0,0.0,95.8,4.2
234.0,0.0,97.9,2.1
235.0,0.0,98.0,2.0
236.0,2.0,95.9,2.0
237.0,0.0,97.9,2.0
238.0,2.0,93.9,4.1
239.0,0.0,97.9,2.0
240.0,0.0,97.9,2.0
241.0,0.0,94.1,5.9
242.0,0.0,94.2,5.8
243.0,0.0,96.0,3.9
244.0,2.0,96.0,2.0
245.0,0.0,98.0,2.0
246.0,1.9,96.2,1.9
247.0,0.0,100.0,0.0
248.0,0.0,96.3,3.7
249.0,0.0,96.2,3.8
250.0,2.0,94.1,3.9
251.0,2.0,92.2,5.9
252.0,0.0,98.0,2.0
253.0,0.0,98.0,2.0
254.0,0.0,98.0,2.0
255.0,0.0,98.0,2.0
256.0,0.0,98.0,2.0
257.0,1.9,96.2,1.9
258.0,0.0,100.0,0.0
259.0,3.8,96.2,0.0
260.0,0.0,100.0,0.0
261.0,1.9,96.3,1.9
262.0,1.9,96.3,1.9
263.0,0.0,100.0,0.0
264.0,0.0,98.0,2.0
265.0,0.0,96.0,3.9
266.0,0.0,98.0,2.0
267.0,0.0,98.0,2.0
268.0,0.0,98.0,2.0
269.0,0.0,96.2,3.8
270.0,1.9,96.3,1.9
271.0,0.0,98.2,1.8
272.0,0.0,98.2,1.8
273.0,0.0,98.2,1.8
274.0,0.0,98.3,1.8
275.0,0.0,98.3,1.7
276.0,3.4,96.6,0.0
277.0,0.0,100.0,0.0
278.0,0.0,100.0,0.0
279.0,0.0,100.0,0.0
280.0,0.0,98.3,1.7
281.0,0.0,100.0,0.0
282.0,0.0,98.3,1.8
283.0,0.0,98.3,1.8
284.0,1.8,96.5,1.8
285.0,1.8,96.5,1.8
286.0,0.0,100.0,0.0
287.0,0.0,98.3,1.8
288.0,0.0,96.5,3.6
289.0,0.0,95.1,4.9
290.0,0.0,96.7,3.3
291.0,0.0,96.7,3.3
292.0,3.3,95.0,1.7
293.0,3.3,95.0,1.7
294.0,0.0,100.0,0.0
295.0,0.0,98.3,1.7
296.0,1.8,98.2,0.0
297.0,1.8,96.4,1.8
298.0,0.0,96.4,3.6
299.0,3.7,92.6,3.7
300.0,0.0,96.2,3.8
301.0,0.0,100.0,0.0
302.0,0.0,97.9,2.1
303.0,2.2,93.5,4.3
304.0,2.2,93.5,4.3
305.0,2.3,95.5,2.3
306.0,2.3,95.4,2.3
307.0,2.4,95.2,2.4
308.0,2.4,95.2,2.4
309.0,0.0,95.0,5.0
310.0,0.0,92.3,7.7
311.0,0.0,94.6,5.4
312.0,0.0,91.5,8.6
313.0,2.9,91.2,5.9
314.0,0.0,93.9,6.1
315.0,0.0,93.9,6.1
316.0,0.0,93.8,6.3
317.0,0.0,93.8,6.3
318.0,0.0,96.8,3.2
319.0,0.0,96.8,3.2
320.0,0.0,100.0,0.0
321.0,0.0,100.0,0.0
322.0,0.0,100.0,0.0
323.0,3.3,96.7,0.0
324.0,0.0,100.0,0.0
