time,total_vehicles,fog_nodes,fog_ratio_pct
265.0,51,25,49.0
266.0,51,25,49.0
267.0,51,25,49.0
268.0,51,25,49.0
269.0,53,26,49.1
270.0,53,26,49.1
271.0,55,27,49.1
272.0,55,27,49.1
273.0,57,28,49.1
274.0,57,28,49.1
275.0,59,29,49.2
276.0,59,29,49.2
277.0,59,29,49.2
278.0,59,29,49.2
279.0,58,28,48.3
280.0,58,28,48.3
281.0,57,28,49.1
282.0,57,28,49.1
283.0,57,28,49.1
284.0,57,28,49.1
285.0,57,28,49.1
286.0,56,28,50.0
287.0,56,28,50.0
288.0,56,28,50.0
289.0,61,29,47.5
290.0,60,29,48.3
291.0,60,29,48.3
292.0,60,29,48.3
293.0,60,29,48.3
294.0,58,28,48.3
295.0,58,28,48.3
296.0,57,28,49.1
297.0,57,28,49.1
298.0,55,27,49.1
299.0,54,27,50.0
300.0,52,26,50.0
301.0,49,25,51.0
302.0,48,24,50.0
303.0,46,24,52.2
304.0,46,24,52.2
305.0,44,23,52.3
306.0,43,22,51.2
307.0,42,21,50.0
308.0,42,21,50.0
309.0,40,20,50.0
310.0,39,19,48.7
311.0,37,19,51.4
312.0,35,19,54.3
313.0,34,18,52.9
314.0,33,18,54.5
315.0,33,18,54.5
316.0,32,17,53.1
317.0,32,17,53.1
318.0,31,16,51.6
319.0,31,16,51.6
320.0,30,16,53.3
321.0,30,16,53.3
322.0,30,16,53.3
323.0,30,16,53.3
324.0,30,16,53.3
